"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
128.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
128.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
128.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
129.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
130.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
131.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
132.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.1,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.2,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.3,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.4,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.5,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.6,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.7,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.8,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
133.9,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
134,40,80,40,14.69994944150933,0.3,0.00127,0.00127,0.18,10345.104994730818,0.009586671843668272,0.022,0.16,1,57.29970618231719,57.299706182317166,80,1000,68.02744485475755,7.105427357601002e-14,0.5057249515234215,0,0.7,15,60,9.81,0,0,180.54377036096113,188.5,188.49555921538757,2,850,850,0.1,0.04218555008683359,0.9577918852040378,9999,0.797889594260202
